po_id,order_date,region,distributor_id,distributor_tier,total_order_value,order_status,deferral_reason,expected_delivery_date
PO-DIST-1001,2025-07-02,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,412369.0,FULFILLED,,2025-07-22
PO-DIST-1002,2025-07-02,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,238738.0,FULFILLED,,2025-07-12
PO-DIST-1003,2025-07-02,NA-East,DIST-COASTAL-WHOLESALE,TIER_2_REGIONAL,61400.0,FULFILLED,,2025-07-21
PO-DIST-1004,2025-07-02,NA-East,DIST-TRI-STATE-OPS,TIER_3_LOCAL,126880.0,FULFILLED,,2025-07-18
PO-DIST-1005,2025-07-02,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,258708.0,FULFILLED,,2025-07-19
PO-DIST-1006,2025-07-02,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,193905.0,FULFILLED,,2025-07-12
PO-DIST-1007,2025-07-02,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,308416.0,FULFILLED,,2025-07-18
PO-DIST-1008,2025-07-02,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,208180.0,FULFILLED,,2025-07-14
PO-DIST-1009,2025-07-02,NA-West,DIST-MOUNTAIN-PARTS,TIER_2_REGIONAL,110821.0,FULFILLED,,2025-07-16
PO-DIST-1010,2025-07-04,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,454514.0,FULFILLED,,2025-07-21
PO-DIST-1011,2025-07-04,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,371621.0,FULFILLED,,2025-07-20
PO-DIST-1012,2025-07-04,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,303090.0,FULFILLED,,2025-07-21
PO-DIST-1013,2025-07-04,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,458993.0,FULFILLED,,2025-07-20
PO-DIST-1014,2025-07-07,NA-East,DIST-APEX-EAST,TIER_1_STRATEGIC,242386.0,FULFILLED,,2025-07-21
PO-DIST-1015,2025-07-07,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,333295.0,FULFILLED,,2025-07-24
PO-DIST-1016,2025-07-07,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,209619.0,FULFILLED,,2025-07-21
PO-DIST-1017,2025-07-07,NA-East,DIST-TRI-STATE-OPS,TIER_3_LOCAL,90717.0,FULFILLED,,2025-07-19
PO-DIST-1018,2025-07-07,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,326511.0,FULFILLED,,2025-07-28
PO-DIST-1019,2025-07-07,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,476756.0,FULFILLED,,2025-07-28
PO-DIST-1020,2025-07-07,NA-West,DIST-MOUNTAIN-PARTS,TIER_2_REGIONAL,132193.0,FULFILLED,,2025-07-20
PO-DIST-1021,2025-07-09,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,339157.0,FULFILLED,,2025-07-20
PO-DIST-1022,2025-07-09,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,213534.0,FULFILLED,,2025-07-21
PO-DIST-1023,2025-07-09,NA-East,DIST-COASTAL-WHOLESALE,TIER_2_REGIONAL,148147.0,FULFILLED,,2025-07-24
PO-DIST-1024,2025-07-09,NA-East,DIST-SUNBELT-PARTS,TIER_2_REGIONAL,137078.0,FULFILLED,,2025-07-22
PO-DIST-1025,2025-07-09,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,258876.0,FULFILLED,,2025-07-24
PO-DIST-1026,2025-07-09,NA-Central,DIST-GREATLAKES-SUPPLY,TIER_2_REGIONAL,67899.0,FULFILLED,,2025-07-23
PO-DIST-1027,2025-07-09,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,470285.0,FULFILLED,,2025-07-30
PO-DIST-1028,2025-07-09,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,182893.0,FULFILLED,,2025-07-26
PO-DIST-1029,2025-07-09,NA-West,DIST-CAL-ENTERPRISE,TIER_1_STRATEGIC,419568.0,FULFILLED,,2025-07-27
PO-DIST-1030,2025-07-09,NA-West,DIST-MOUNTAIN-PARTS,TIER_2_REGIONAL,110930.0,FULFILLED,,2025-07-26
PO-DIST-1031,2025-07-11,NA-East,DIST-APEX-EAST,TIER_1_STRATEGIC,371263.0,FULFILLED,,2025-07-31
PO-DIST-1032,2025-07-11,NA-East,DIST-MIDATL-SUPPLY,TIER_1_STRATEGIC,241453.0,FULFILLED,,2025-07-29
PO-DIST-1033,2025-07-11,NA-East,DIST-EMPIRE-IND,TIER_1_STRATEGIC,250449.0,FULFILLED,,2025-07-26
PO-DIST-1034,2025-07-11,NA-Central,DIST-MIDWEST-DIRECT,TIER_1_STRATEGIC,404172.0,FULFILLED,,2025-08-01
PO-DIST-1035,2025-07-11,NA-Central,DIST-GREATLAKES-SUPPLY,TIER_2_REGIONAL,158293.0,FULFILLED,,2025-07-24
PO-DIST-1036,2025-07-11,NA-Central,DIST-TEXAS-COMMERCIAL,TIER_1_STRATEGIC,346708.0,FULFILLED,,2025-07-26
PO-DIST-1037,2025-07-11,NA-West,DIST-PACIFIC-LOGISTICS,TIER_1_STRATEGIC,391532.0,FULFILLED,,2025-07-21
