snapshot_id,snapshot_date,dc_location,region,sku_id,on_hand_units,available_units,required_demand_units,availability_percentage,stockout_status,reorder_in_transit_units
INV-SNAP-10001,2025-07-01,Atlanta-DC-01,NA-East,SKU-8821,3301,2793,2956,94.49,false,0
INV-SNAP-10002,2025-07-01,Atlanta-DC-01,NA-East,SKU-4410,3187,2625,2708,96.94,false,1500
INV-SNAP-10003,2025-07-01,Atlanta-DC-01,NA-East,SKU-5520,3313,2959,3087,95.85,false,1500
INV-SNAP-10004,2025-07-01,Atlanta-DC-01,NA-East,SKU-9930,3331,2774,2876,96.45,false,3000
INV-SNAP-10005,2025-07-01,Atlanta-DC-01,NA-East,SKU-2205,3553,2895,3067,94.39,false,5000
INV-SNAP-10006,2025-07-01,Charlotte-DC-02,NA-East,SKU-8821,3789,3178,3307,96.1,false,3000
INV-SNAP-10007,2025-07-01,Charlotte-DC-02,NA-East,SKU-4410,3815,3263,3363,97.03,false,1500
INV-SNAP-10008,2025-07-01,Charlotte-DC-02,NA-East,SKU-5520,3475,3101,3168,97.89,false,0
INV-SNAP-10009,2025-07-01,Charlotte-DC-02,NA-East,SKU-9930,3602,3183,3303,96.37,false,3000
INV-SNAP-10010,2025-07-01,Charlotte-DC-02,NA-East,SKU-2205,3387,2717,2820,96.35,false,0
INV-SNAP-10011,2025-07-01,Chicago-DC-01,NA-Central,SKU-8821,3654,3139,3281,95.67,false,1500
INV-SNAP-10012,2025-07-01,Chicago-DC-01,NA-Central,SKU-4410,3047,2713,2872,94.46,false,1500
INV-SNAP-10013,2025-07-01,Chicago-DC-01,NA-Central,SKU-5520,3096,2596,2682,96.79,false,1500
INV-SNAP-10014,2025-07-01,Chicago-DC-01,NA-Central,SKU-9930,2903,2570,2668,96.33,false,0
INV-SNAP-10015,2025-07-01,Chicago-DC-01,NA-Central,SKU-2205,3588,3211,3341,96.11,false,1500
INV-SNAP-10016,2025-07-01,Dallas-DC-02,NA-Central,SKU-8821,3580,2943,3090,95.24,false,5000
INV-SNAP-10017,2025-07-01,Dallas-DC-02,NA-Central,SKU-4410,3439,2853,2959,96.42,false,1500
INV-SNAP-10018,2025-07-01,Dallas-DC-02,NA-Central,SKU-5520,3768,3249,3319,97.89,false,1500
INV-SNAP-10019,2025-07-01,Dallas-DC-02,NA-Central,SKU-9930,3542,3162,3332,94.9,false,5000
INV-SNAP-10020,2025-07-01,Dallas-DC-02,NA-Central,SKU-2205,3351,2969,3031,97.95,false,3000
INV-SNAP-10021,2025-07-01,Reno-DC-01,NA-West,SKU-8821,3483,2957,3046,97.08,false,5000
INV-SNAP-10022,2025-07-01,Reno-DC-01,NA-West,SKU-4410,3024,2656,2816,94.32,false,0
INV-SNAP-10023,2025-07-01,Reno-DC-01,NA-West,SKU-5520,3259,2711,2806,96.61,false,3000
INV-SNAP-10024,2025-07-01,Reno-DC-01,NA-West,SKU-9930,3444,3125,3291,94.96,false,3000
INV-SNAP-10025,2025-07-01,Reno-DC-01,NA-West,SKU-2205,3651,2969,3068,96.77,false,0
INV-SNAP-10026,2025-07-01,Seattle-DC-02,NA-West,SKU-8821,3474,2926,3015,97.05,false,1500
INV-SNAP-10027,2025-07-01,Seattle-DC-02,NA-West,SKU-4410,3430,2860,3010,95.02,false,5000
INV-SNAP-10028,2025-07-01,Seattle-DC-02,NA-West,SKU-5520,3513,3199,3330,96.07,false,3000
INV-SNAP-10029,2025-07-01,Seattle-DC-02,NA-West,SKU-9930,3470,3110,3256,95.52,false,3000
INV-SNAP-10030,2025-07-01,Seattle-DC-02,NA-West,SKU-2205,3249,2744,2834,96.82,false,0
INV-SNAP-10031,2025-07-02,Atlanta-DC-01,NA-East,SKU-8821,3262,2940,3011,97.64,false,5000
INV-SNAP-10032,2025-07-02,Atlanta-DC-01,NA-East,SKU-4410,3775,3222,3341,96.44,false,1500
INV-SNAP-10033,2025-07-02,Atlanta-DC-01,NA-East,SKU-5520,3020,2617,2746,95.3,false,3000
INV-SNAP-10034,2025-07-02,Atlanta-DC-01,NA-East,SKU-9930,3562,3259,3344,97.46,false,3000
INV-SNAP-10035,2025-07-02,Atlanta-DC-01,NA-East,SKU-2205,3464,3031,3215,94.28,false,0
INV-SNAP-10036,2025-07-02,Charlotte-DC-02,NA-East,SKU-8821,3330,2994,3132,95.59,false,0
INV-SNAP-10037,2025-07-02,Charlotte-DC-02,NA-East,SKU-4410,3169,2566,2659,96.5,false,5000
INV-SNAP-10038,2025-07-02,Charlotte-DC-02,NA-East,SKU-5520,3656,3252,3362,96.73,false,3000
INV-SNAP-10039,2025-07-02,Charlotte-DC-02,NA-East,SKU-9930,3818,3169,3256,97.33,false,5000
INV-SNAP-10040,2025-07-02,Charlotte-DC-02,NA-East,SKU-2205,3670,3254,3400,95.71,false,1500
INV-SNAP-10041,2025-07-02,Chicago-DC-01,NA-Central,SKU-8821,3580,2903,3086,94.07,false,3000
INV-SNAP-10042,2025-07-02,Chicago-DC-01,NA-Central,SKU-4410,3472,3078,3246,94.82,false,3000
INV-SNAP-10043,2025-07-02,Chicago-DC-01,NA-Central,SKU-5520,3519,3138,3337,94.04,false,5000
INV-SNAP-10044,2025-07-02,Chicago-DC-01,NA-Central,SKU-9930,3677,3018,3093,97.58,false,3000
INV-SNAP-10045,2025-07-02,Chicago-DC-01,NA-Central,SKU-2205,3206,2714,2786,97.42,false,3000
INV-SNAP-10046,2025-07-02,Dallas-DC-02,NA-Central,SKU-8821,3702,3231,3304,97.79,false,1500
INV-SNAP-10047,2025-07-02,Dallas-DC-02,NA-Central,SKU-4410,3676,3108,3209,96.85,false,3000
INV-SNAP-10048,2025-07-02,Dallas-DC-02,NA-Central,SKU-5520,3416,3007,3094,97.19,false,0
INV-SNAP-10049,2025-07-02,Dallas-DC-02,NA-Central,SKU-9930,3563,3230,3369,95.87,false,0
INV-SNAP-10050,2025-07-02,Dallas-DC-02,NA-Central,SKU-2205,2846,2525,2644,95.5,false,3000
INV-SNAP-10051,2025-07-02,Reno-DC-01,NA-West,SKU-8821,3667,3211,3358,95.62,false,0
INV-SNAP-10052,2025-07-02,Reno-DC-01,NA-West,SKU-4410,3155,2602,2708,96.09,false,3000
INV-SNAP-10053,2025-07-02,Reno-DC-01,NA-West,SKU-5520,3564,3118,3225,96.68,false,3000
INV-SNAP-10054,2025-07-02,Reno-DC-01,NA-West,SKU-9930,3779,3226,3342,96.53,false,0
INV-SNAP-10055,2025-07-02,Reno-DC-01,NA-West,SKU-2205,3690,3229,3318,97.32,false,3000
INV-SNAP-10056,2025-07-02,Seattle-DC-02,NA-West,SKU-8821,3612,3304,3373,97.95,false,3000
INV-SNAP-10057,2025-07-02,Seattle-DC-02,NA-West,SKU-4410,3452,2940,3064,95.95,false,3000
INV-SNAP-10058,2025-07-02,Seattle-DC-02,NA-West,SKU-5520,3378,2758,2864,96.3,false,3000
INV-SNAP-10059,2025-07-02,Seattle-DC-02,NA-West,SKU-9930,3276,2692,2853,94.36,false,1500
INV-SNAP-10060,2025-07-02,Seattle-DC-02,NA-West,SKU-2205,3033,2592,2722,95.22,false,5000
