invoice_id,invoice_date,region,territory,customer_id,sku_id,gross_amount,discount_amount,net_revenue,currency,posting_status
INV-100001,2025-07-01,NA-East,Southeast-ATL,DIST-APEX-EAST,SKU-5520,24221.1,585.81,23635.29,USD,POSTED
INV-100002,2025-07-01,NA-East,Southeast-ATL,DIST-TRI-STATE-OPS,SKU-5520,17977.26,406.43,17570.83,USD,POSTED
INV-100003,2025-07-01,NA-East,Mid-Atlantic-VA,DIST-APEX-EAST,SKU-8821,26880.17,945.13,25935.04,USD,POSTED
INV-100004,2025-07-01,NA-East,Southeast-ATL,DIST-SUNBELT-PARTS,SKU-8821,18011.54,479.34,17532.2,USD,POSTED
INV-100005,2025-07-01,NA-East,Northeast-NY,DIST-EMPIRE-IND,SKU-9930,29314.47,1200.26,28114.21,USD,POSTED
INV-100006,2025-07-01,NA-East,Mid-Atlantic-VA,DIST-EMPIRE-IND,SKU-8821,20754.42,472.83,20281.59,USD,POSTED
INV-100007,2025-07-01,NA-East,Southeast-ATL,DIST-EMPIRE-IND,SKU-9930,22514.43,943.17,21571.26,USD,POSTED
INV-100008,2025-07-01,NA-East,Northeast-NY,DIST-APEX-EAST,SKU-2205,10647.69,389.29,10258.4,USD,POSTED
INV-100009,2025-07-01,NA-East,Northeast-NY,DIST-SUNBELT-PARTS,SKU-9930,27143.03,699.44,26443.59,USD,POSTED
INV-100010,2025-07-01,NA-East,Southeast-ATL,DIST-APEX-EAST,SKU-5520,18061.07,824.66,17236.41,USD,POSTED
INV-100011,2025-07-01,NA-East,Southeast-ATL,DIST-COASTAL-WHOLESALE,SKU-8821,12022.93,373.98,11648.95,USD,POSTED
INV-100012,2025-07-01,NA-Central,Texas-DFW,DIST-GREATLAKES-SUPPLY,SKU-5520,20575.37,803.46,19771.91,USD,POSTED
INV-100013,2025-07-01,NA-Central,Texas-DFW,DIST-TEXAS-COMMERCIAL,SKU-8821,33737.36,947.97,32789.39,USD,POSTED
INV-100014,2025-07-01,NA-Central,Texas-DFW,DIST-TEXAS-COMMERCIAL,SKU-4410,13179.13,354.14,12824.99,USD,POSTED
