sales_item_id,order_id,transaction_date,region,distributor_id,sku_id,units_ordered,units_sold,unit_price,total_item_revenue,delivery_status
SLS-500001,SO-700000,2025-07-01,NA-East,DIST-APEX-EAST,SKU-5520,221,221,110.0,23337.6,DELIVERED
SLS-500002,SO-700001,2025-07-01,NA-East,DIST-TRI-STATE-OPS,SKU-5520,164,164,110.0,17318.4,DELIVERED
SLS-500003,SO-700002,2025-07-01,NA-East,DIST-APEX-EAST,SKU-8821,224,224,120.0,25804.8,DELIVERED
SLS-500004,SO-700003,2025-07-01,NA-East,DIST-SUNBELT-PARTS,SKU-8821,150,150,120.0,17280.0,DELIVERED
SLS-500005,SO-700004,2025-07-01,NA-East,DIST-EMPIRE-IND,SKU-9930,196,196,150.0,28224.0,DELIVERED
SLS-500006,SO-700005,2025-07-01,NA-East,DIST-EMPIRE-IND,SKU-8821,173,173,120.0,19929.6,DELIVERED
SLS-500007,SO-700006,2025-07-01,NA-East,DIST-EMPIRE-IND,SKU-9930,150,150,150.0,21600.0,DELIVERED
SLS-500008,SO-700007,2025-07-01,NA-East,DIST-APEX-EAST,SKU-2205,164,164,65.0,10233.6,DELIVERED
SLS-500009,SO-700008,2025-07-01,NA-East,DIST-SUNBELT-PARTS,SKU-9930,181,181,150.0,26064.0,DELIVERED
SLS-500010,SO-700009,2025-07-01,NA-East,DIST-APEX-EAST,SKU-5520,165,165,110.0,17424.0,DELIVERED
SLS-500011,SO-700010,2025-07-01,NA-East,DIST-COASTAL-WHOLESALE,SKU-8821,100,100,120.0,11520.0,DELIVERED
SLS-500012,SO-700011,2025-07-01,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-5520,187,187,110.0,19747.2,DELIVERED
SLS-500013,SO-700012,2025-07-01,NA-Central,DIST-TEXAS-COMMERCIAL,SKU-8821,281,281,120.0,32371.2,DELIVERED
SLS-500014,SO-700013,2025-07-01,NA-Central,DIST-TEXAS-COMMERCIAL,SKU-4410,155,155,85.0,12648.0,DELIVERED
SLS-500015,SO-700014,2025-07-01,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-4410,110,110,85.0,8976.0,DELIVERED
SLS-500016,SO-700015,2025-07-01,NA-Central,DIST-TEXAS-COMMERCIAL,SKU-8821,288,288,120.0,33177.6,DELIVERED
SLS-500017,SO-700016,2025-07-01,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-8821,117,117,120.0,13478.4,DELIVERED
SLS-500018,SO-700017,2025-07-01,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-5520,182,182,110.0,19219.2,DELIVERED
SLS-500019,SO-700018,2025-07-01,NA-West,DIST-MOUNTAIN-PARTS,SKU-4410,90,90,85.0,7344.0,DELIVERED
SLS-500020,SO-700019,2025-07-01,NA-West,DIST-MOUNTAIN-PARTS,SKU-4410,144,144,85.0,11750.4,DELIVERED
SLS-500021,SO-700020,2025-07-01,NA-West,DIST-MOUNTAIN-PARTS,SKU-8821,70,70,120.0,8064.0,DELIVERED
SLS-500022,SO-700021,2025-07-01,NA-West,DIST-MOUNTAIN-PARTS,SKU-9930,135,135,150.0,19440.0,DELIVERED
SLS-500023,SO-700022,2025-07-01,NA-West,DIST-PACIFIC-LOGISTICS,SKU-4410,328,328,85.0,26764.8,DELIVERED
SLS-500024,SO-700023,2025-07-01,NA-West,DIST-PACIFIC-LOGISTICS,SKU-9930,331,331,150.0,47664.0,DELIVERED
SLS-500025,SO-700024,2025-07-01,NA-West,DIST-CAL-ENTERPRISE,SKU-9930,340,340,150.0,48960.0,DELIVERED
SLS-500026,SO-700025,2025-07-02,NA-East,DIST-COASTAL-WHOLESALE,SKU-8821,129,129,120.0,14860.8,DELIVERED
SLS-500027,SO-700026,2025-07-02,NA-East,DIST-SUNBELT-PARTS,SKU-2205,163,163,65.0,10171.2,DELIVERED
SLS-500028,SO-700027,2025-07-02,NA-East,DIST-MIDATL-SUPPLY,SKU-8821,198,198,120.0,22809.6,DELIVERED
SLS-500029,SO-700028,2025-07-02,NA-East,DIST-COASTAL-WHOLESALE,SKU-2205,108,108,65.0,6739.2,DELIVERED
SLS-500030,SO-700029,2025-07-02,NA-East,DIST-TRI-STATE-OPS,SKU-5520,143,143,110.0,15100.8,DELIVERED
SLS-500031,SO-700030,2025-07-02,NA-East,DIST-APEX-EAST,SKU-8821,266,266,120.0,30643.2,DELIVERED
SLS-500032,SO-700031,2025-07-02,NA-East,DIST-MIDATL-SUPPLY,SKU-4410,161,161,85.0,13137.6,DELIVERED
SLS-500033,SO-700032,2025-07-02,NA-East,DIST-MIDATL-SUPPLY,SKU-8821,263,263,120.0,30297.6,DELIVERED
SLS-500034,SO-700033,2025-07-02,NA-East,DIST-EMPIRE-IND,SKU-5520,185,185,110.0,19536.0,DELIVERED
SLS-500035,SO-700034,2025-07-02,NA-East,DIST-SUNBELT-PARTS,SKU-4410,148,148,85.0,12076.8,DELIVERED
SLS-500036,SO-700035,2025-07-02,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-4410,160,160,85.0,13056.0,DELIVERED
SLS-500037,SO-700036,2025-07-02,NA-Central,DIST-TEXAS-COMMERCIAL,SKU-5520,157,157,110.0,16579.2,DELIVERED
SLS-500038,SO-700037,2025-07-02,NA-Central,DIST-MIDWEST-DIRECT,SKU-8821,342,342,120.0,39398.4,DELIVERED
SLS-500039,SO-700038,2025-07-02,NA-Central,DIST-MIDWEST-DIRECT,SKU-8821,163,163,120.0,18777.6,DELIVERED
SLS-500040,SO-700039,2025-07-02,NA-Central,DIST-MIDWEST-DIRECT,SKU-8821,139,139,120.0,16012.8,DELIVERED
SLS-500041,SO-700040,2025-07-02,NA-Central,DIST-MIDWEST-DIRECT,SKU-4410,216,216,85.0,17625.6,DELIVERED
SLS-500042,SO-700041,2025-07-02,NA-West,DIST-CAL-ENTERPRISE,SKU-8821,237,237,120.0,27302.4,DELIVERED
SLS-500043,SO-700042,2025-07-02,NA-West,DIST-CAL-ENTERPRISE,SKU-4410,323,323,85.0,26356.8,DELIVERED
SLS-500044,SO-700043,2025-07-02,NA-West,DIST-PACIFIC-LOGISTICS,SKU-2205,157,157,65.0,9796.8,DELIVERED
SLS-500045,SO-700044,2025-07-02,NA-West,DIST-PACIFIC-LOGISTICS,SKU-4410,340,340,85.0,27744.0,DELIVERED
SLS-500046,SO-700045,2025-07-02,NA-West,DIST-PACIFIC-LOGISTICS,SKU-9930,160,160,150.0,23040.0,DELIVERED
SLS-500047,SO-700046,2025-07-02,NA-West,DIST-CAL-ENTERPRISE,SKU-8821,229,229,120.0,26380.8,DELIVERED
SLS-500048,SO-700047,2025-07-03,NA-East,DIST-APEX-EAST,SKU-4410,338,338,85.0,27580.8,DELIVERED
SLS-500049,SO-700048,2025-07-03,NA-East,DIST-MIDATL-SUPPLY,SKU-5520,227,227,110.0,23971.2,DELIVERED
SLS-500050,SO-700049,2025-07-03,NA-East,DIST-TRI-STATE-OPS,SKU-5520,147,147,110.0,15523.2,DELIVERED
SLS-500051,SO-700050,2025-07-03,NA-East,DIST-APEX-EAST,SKU-4410,173,173,85.0,14116.8,DELIVERED
SLS-500052,SO-700051,2025-07-03,NA-East,DIST-SUNBELT-PARTS,SKU-8821,82,82,120.0,9446.4,DELIVERED
SLS-500053,SO-700052,2025-07-03,NA-East,DIST-EMPIRE-IND,SKU-8821,252,252,120.0,29030.4,DELIVERED
SLS-500054,SO-700053,2025-07-03,NA-Central,DIST-TEXAS-COMMERCIAL,SKU-8821,250,250,120.0,28800.0,DELIVERED
SLS-500055,SO-700054,2025-07-03,NA-Central,DIST-MIDWEST-DIRECT,SKU-8821,194,194,120.0,22348.8,DELIVERED
SLS-500056,SO-700055,2025-07-03,NA-Central,DIST-MIDWEST-DIRECT,SKU-5520,236,236,110.0,24921.6,DELIVERED
SLS-500057,SO-700056,2025-07-03,NA-Central,DIST-MIDWEST-DIRECT,SKU-8821,241,241,120.0,27763.2,DELIVERED
SLS-500058,SO-700057,2025-07-03,NA-Central,DIST-MIDWEST-DIRECT,SKU-5520,196,196,110.0,20697.6,DELIVERED
SLS-500059,SO-700058,2025-07-03,NA-Central,DIST-TEXAS-COMMERCIAL,SKU-4410,177,177,85.0,14443.2,DELIVERED
SLS-500060,SO-700059,2025-07-03,NA-Central,DIST-MIDWEST-DIRECT,SKU-4410,191,191,85.0,15585.6,DELIVERED
SLS-500061,SO-700060,2025-07-03,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-4410,138,138,85.0,11260.8,DELIVERED
SLS-500062,SO-700061,2025-07-03,NA-Central,DIST-TEXAS-COMMERCIAL,SKU-8821,292,292,120.0,33638.4,DELIVERED
SLS-500063,SO-700062,2025-07-03,NA-Central,DIST-MIDWEST-DIRECT,SKU-2205,197,197,65.0,12292.8,DELIVERED
SLS-500064,SO-700063,2025-07-03,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-8821,149,149,120.0,17164.8,DELIVERED
SLS-500065,SO-700064,2025-07-03,NA-Central,DIST-MIDWEST-DIRECT,SKU-8821,282,282,120.0,32486.4,DELIVERED
SLS-500066,SO-700065,2025-07-03,NA-West,DIST-PACIFIC-LOGISTICS,SKU-8821,270,270,120.0,31104.0,DELIVERED
SLS-500067,SO-700066,2025-07-03,NA-West,DIST-PACIFIC-LOGISTICS,SKU-8821,289,289,120.0,33292.8,DELIVERED
SLS-500068,SO-700067,2025-07-03,NA-West,DIST-CAL-ENTERPRISE,SKU-4410,289,289,85.0,23582.4,DELIVERED
SLS-500069,SO-700068,2025-07-03,NA-West,DIST-CAL-ENTERPRISE,SKU-2205,235,235,65.0,14664.0,DELIVERED
SLS-500070,SO-700069,2025-07-03,NA-West,DIST-PACIFIC-LOGISTICS,SKU-8821,268,268,120.0,30873.6,DELIVERED
SLS-500071,SO-700070,2025-07-03,NA-West,DIST-CAL-ENTERPRISE,SKU-5520,178,178,110.0,18796.8,DELIVERED
SLS-500072,SO-700071,2025-07-03,NA-West,DIST-PACIFIC-LOGISTICS,SKU-8821,134,134,120.0,15436.8,DELIVERED
SLS-500073,SO-700072,2025-07-03,NA-West,DIST-MOUNTAIN-PARTS,SKU-5520,139,139,110.0,14678.4,DELIVERED
SLS-500074,SO-700073,2025-07-03,NA-West,DIST-CAL-ENTERPRISE,SKU-5520,250,250,110.0,26400.0,DELIVERED
SLS-500075,SO-700074,2025-07-03,NA-West,DIST-CAL-ENTERPRISE,SKU-8821,183,183,120.0,21081.6,DELIVERED
SLS-500076,SO-700075,2025-07-03,NA-West,DIST-CAL-ENTERPRISE,SKU-5520,251,251,110.0,26505.6,DELIVERED
SLS-500077,SO-700076,2025-07-03,NA-West,DIST-CAL-ENTERPRISE,SKU-8821,259,259,120.0,29836.8,DELIVERED
SLS-500078,SO-700077,2025-07-04,NA-East,DIST-MIDATL-SUPPLY,SKU-4410,166,166,85.0,13545.6,DELIVERED
SLS-500079,SO-700078,2025-07-04,NA-East,DIST-TRI-STATE-OPS,SKU-5520,75,75,110.0,7920.0,DELIVERED
SLS-500080,SO-700079,2025-07-04,NA-East,DIST-TRI-STATE-OPS,SKU-8821,96,96,120.0,11059.2,DELIVERED
SLS-500081,SO-700080,2025-07-04,NA-East,DIST-MIDATL-SUPPLY,SKU-2205,311,311,65.0,19406.4,DELIVERED
SLS-500082,SO-700081,2025-07-04,NA-East,DIST-SUNBELT-PARTS,SKU-8821,165,165,120.0,19008.0,DELIVERED
SLS-500083,SO-700082,2025-07-04,NA-East,DIST-TRI-STATE-OPS,SKU-5520,78,78,110.0,8236.8,DELIVERED
SLS-500084,SO-700083,2025-07-04,NA-East,DIST-MIDATL-SUPPLY,SKU-9930,315,315,150.0,45360.0,DELIVERED
SLS-500085,SO-700084,2025-07-04,NA-East,DIST-APEX-EAST,SKU-4410,341,341,85.0,27825.6,DELIVERED
SLS-500086,SO-700085,2025-07-04,NA-East,DIST-EMPIRE-IND,SKU-2205,331,331,65.0,20654.4,DELIVERED
SLS-500087,SO-700086,2025-07-04,NA-Central,DIST-MIDWEST-DIRECT,SKU-5520,309,309,110.0,32630.4,DELIVERED
SLS-500088,SO-700087,2025-07-04,NA-Central,DIST-TEXAS-COMMERCIAL,SKU-8821,322,322,120.0,37094.4,DELIVERED
SLS-500089,SO-700088,2025-07-04,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-8821,114,114,120.0,13132.8,DELIVERED
SLS-500090,SO-700089,2025-07-04,NA-Central,DIST-TEXAS-COMMERCIAL,SKU-8821,223,223,120.0,25689.6,DELIVERED
SLS-500091,SO-700090,2025-07-04,NA-Central,DIST-TEXAS-COMMERCIAL,SKU-8821,292,292,120.0,33638.4,DELIVERED
SLS-500092,SO-700091,2025-07-04,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-8821,144,144,120.0,16588.8,DELIVERED
SLS-500093,SO-700092,2025-07-04,NA-Central,DIST-TEXAS-COMMERCIAL,SKU-8821,282,282,120.0,32486.4,DELIVERED
SLS-500094,SO-700093,2025-07-04,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-9930,173,173,150.0,24912.0,DELIVERED
SLS-500095,SO-700094,2025-07-04,NA-Central,DIST-TEXAS-COMMERCIAL,SKU-9930,219,219,150.0,31536.0,DELIVERED
SLS-500096,SO-700095,2025-07-04,NA-Central,DIST-MIDWEST-DIRECT,SKU-4410,198,198,85.0,16156.8,DELIVERED
SLS-500097,SO-700096,2025-07-04,NA-West,DIST-MOUNTAIN-PARTS,SKU-8821,184,184,120.0,21196.8,DELIVERED
SLS-500098,SO-700097,2025-07-04,NA-West,DIST-PACIFIC-LOGISTICS,SKU-5520,313,313,110.0,33052.8,DELIVERED
SLS-500099,SO-700098,2025-07-04,NA-West,DIST-CAL-ENTERPRISE,SKU-8821,261,261,120.0,30067.2,DELIVERED
SLS-500100,SO-700099,2025-07-04,NA-West,DIST-CAL-ENTERPRISE,SKU-9930,232,232,150.0,33408.0,DELIVERED
SLS-500101,SO-700100,2025-07-04,NA-West,DIST-PACIFIC-LOGISTICS,SKU-5520,270,270,110.0,28512.0,DELIVERED
SLS-500102,SO-700101,2025-07-04,NA-West,DIST-MOUNTAIN-PARTS,SKU-8821,117,117,120.0,13478.4,DELIVERED
SLS-500103,SO-700102,2025-07-04,NA-West,DIST-MOUNTAIN-PARTS,SKU-8821,161,161,120.0,18547.2,DELIVERED
SLS-500104,SO-700103,2025-07-05,NA-East,DIST-COASTAL-WHOLESALE,SKU-5520,101,101,110.0,10665.6,DELIVERED
SLS-500105,SO-700104,2025-07-05,NA-East,DIST-TRI-STATE-OPS,SKU-8821,89,89,120.0,10252.8,DELIVERED
SLS-500106,SO-700105,2025-07-05,NA-East,DIST-SUNBELT-PARTS,SKU-8821,181,181,120.0,20851.2,DELIVERED
SLS-500107,SO-700106,2025-07-05,NA-East,DIST-COASTAL-WHOLESALE,SKU-2205,83,83,65.0,5179.2,DELIVERED
SLS-500108,SO-700107,2025-07-05,NA-East,DIST-MIDATL-SUPPLY,SKU-8821,181,181,120.0,20851.2,DELIVERED
SLS-500109,SO-700108,2025-07-05,NA-East,DIST-APEX-EAST,SKU-8821,278,278,120.0,32025.6,DELIVERED
SLS-500110,SO-700109,2025-07-05,NA-East,DIST-EMPIRE-IND,SKU-8821,325,325,120.0,37440.0,DELIVERED
SLS-500111,SO-700110,2025-07-05,NA-East,DIST-TRI-STATE-OPS,SKU-9930,147,147,150.0,21168.0,DELIVERED
SLS-500112,SO-700111,2025-07-05,NA-East,DIST-MIDATL-SUPPLY,SKU-5520,323,323,110.0,34108.8,DELIVERED
SLS-500113,SO-700112,2025-07-05,NA-East,DIST-SUNBELT-PARTS,SKU-8821,86,86,120.0,9907.2,DELIVERED
SLS-500114,SO-700113,2025-07-05,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-4410,134,134,85.0,10934.4,DELIVERED
SLS-500115,SO-700114,2025-07-05,NA-Central,DIST-MIDWEST-DIRECT,SKU-4410,234,234,85.0,19094.4,DELIVERED
SLS-500116,SO-700115,2025-07-05,NA-Central,DIST-TEXAS-COMMERCIAL,SKU-9930,137,137,150.0,19728.0,DELIVERED
SLS-500117,SO-700116,2025-07-05,NA-Central,DIST-MIDWEST-DIRECT,SKU-8821,324,324,120.0,37324.8,DELIVERED
SLS-500118,SO-700117,2025-07-05,NA-Central,DIST-TEXAS-COMMERCIAL,SKU-4410,308,308,85.0,25132.8,DELIVERED
SLS-500119,SO-700118,2025-07-05,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-8821,128,128,120.0,14745.6,DELIVERED
SLS-500120,SO-700119,2025-07-05,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-4410,151,151,85.0,12321.6,DELIVERED
SLS-500121,SO-700120,2025-07-05,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-4410,121,121,85.0,9873.6,DELIVERED
SLS-500122,SO-700121,2025-07-05,NA-Central,DIST-MIDWEST-DIRECT,SKU-5520,180,180,110.0,19008.0,DELIVERED
SLS-500123,SO-700122,2025-07-05,NA-West,DIST-PACIFIC-LOGISTICS,SKU-8821,241,241,120.0,27763.2,DELIVERED
SLS-500124,SO-700123,2025-07-05,NA-West,DIST-MOUNTAIN-PARTS,SKU-8821,106,106,120.0,12211.2,DELIVERED
SLS-500125,SO-700124,2025-07-05,NA-West,DIST-PACIFIC-LOGISTICS,SKU-8821,182,182,120.0,20966.4,DELIVERED
SLS-500126,SO-700125,2025-07-05,NA-West,DIST-MOUNTAIN-PARTS,SKU-8821,164,164,120.0,18892.8,DELIVERED
SLS-500127,SO-700126,2025-07-05,NA-West,DIST-MOUNTAIN-PARTS,SKU-8821,154,154,120.0,17740.8,DELIVERED
SLS-500128,SO-700127,2025-07-05,NA-West,DIST-CAL-ENTERPRISE,SKU-2205,178,178,65.0,11107.2,DELIVERED
SLS-500129,SO-700128,2025-07-05,NA-West,DIST-CAL-ENTERPRISE,SKU-8821,192,192,120.0,22118.4,DELIVERED
SLS-500130,SO-700129,2025-07-05,NA-West,DIST-CAL-ENTERPRISE,SKU-8821,179,179,120.0,20620.8,DELIVERED
SLS-500131,SO-700130,2025-07-05,NA-West,DIST-MOUNTAIN-PARTS,SKU-4410,170,170,85.0,13872.0,DELIVERED
SLS-500132,SO-700131,2025-07-05,NA-West,DIST-CAL-ENTERPRISE,SKU-9930,252,252,150.0,36288.0,DELIVERED
SLS-500133,SO-700132,2025-07-05,NA-West,DIST-MOUNTAIN-PARTS,SKU-2205,109,109,65.0,6801.6,DELIVERED
SLS-500134,SO-700133,2025-07-05,NA-West,DIST-MOUNTAIN-PARTS,SKU-8821,102,102,120.0,11750.4,DELIVERED
SLS-500135,SO-700134,2025-07-06,NA-East,DIST-COASTAL-WHOLESALE,SKU-4410,126,126,85.0,10281.6,DELIVERED
SLS-500136,SO-700135,2025-07-06,NA-East,DIST-TRI-STATE-OPS,SKU-8821,146,146,120.0,16819.2,DELIVERED
SLS-500137,SO-700136,2025-07-06,NA-East,DIST-EMPIRE-IND,SKU-9930,300,300,150.0,43200.0,DELIVERED
SLS-500138,SO-700137,2025-07-06,NA-East,DIST-TRI-STATE-OPS,SKU-8821,109,109,120.0,12556.8,DELIVERED
SLS-500139,SO-700138,2025-07-06,NA-East,DIST-APEX-EAST,SKU-8821,246,246,120.0,28339.2,DELIVERED
SLS-500140,SO-700139,2025-07-06,NA-East,DIST-TRI-STATE-OPS,SKU-8821,136,136,120.0,15667.2,DELIVERED
SLS-500141,SO-700140,2025-07-06,NA-East,DIST-SUNBELT-PARTS,SKU-4410,186,186,85.0,15177.6,DELIVERED
SLS-500142,SO-700141,2025-07-06,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-5520,86,86,110.0,9081.6,DELIVERED
SLS-500143,SO-700142,2025-07-06,NA-Central,DIST-TEXAS-COMMERCIAL,SKU-4410,238,238,85.0,19420.8,DELIVERED
SLS-500144,SO-700143,2025-07-06,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-4410,123,123,85.0,10036.8,DELIVERED
SLS-500145,SO-700144,2025-07-06,NA-Central,DIST-GREATLAKES-SUPPLY,SKU-5520,86,86,110.0,9081.6,DELIVERED
