ticket_id,created_at,region,source_entity,category,severity,subject,content_summary,sentiment_score
ZD-TK-1001,2025-07-01T14:37:00Z,NA-East,DIST-COASTAL-WHOLESALE,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-COASTAL-WHOLESALE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.04
ZD-TK-1002,2025-07-01T13:11:00Z,NA-East,DIST-EMPIRE-IND,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-EMPIRE-IND,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.22
ZD-TK-1003,2025-07-01T17:04:00Z,NA-East,DIST-APEX-EAST,PRODUCT_QUALITY,LOW,Routine inquiry / order status check for DIST-APEX-EAST,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.06
ZD-TK-1004,2025-07-01T17:37:00Z,NA-Central,DIST-GREATLAKES-SUPPLY,PRODUCT_QUALITY,LOW,Routine inquiry / order status check for DIST-GREATLAKES-SUPPLY,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.11
ZD-TK-1005,2025-07-01T17:47:00Z,NA-Central,DIST-GREATLAKES-SUPPLY,PRODUCT_QUALITY,LOW,Routine inquiry / order status check for DIST-GREATLAKES-SUPPLY,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.22
ZD-TK-1006,2025-07-01T13:08:00Z,NA-Central,DIST-TEXAS-COMMERCIAL,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-TEXAS-COMMERCIAL,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.25
ZD-TK-1007,2025-07-01T11:26:00Z,NA-West,DIST-PACIFIC-LOGISTICS,PRICE_DISPUTE,MEDIUM,Routine inquiry / order status check for DIST-PACIFIC-LOGISTICS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.35
ZD-TK-1008,2025-07-01T10:05:00Z,NA-West,DIST-CAL-ENTERPRISE,PRODUCT_QUALITY,LOW,Routine inquiry / order status check for DIST-CAL-ENTERPRISE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.34
ZD-TK-1009,2025-07-01T12:09:00Z,NA-West,DIST-CAL-ENTERPRISE,PRICE_DISPUTE,MEDIUM,Routine inquiry / order status check for DIST-CAL-ENTERPRISE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.3
ZD-TK-1010,2025-07-02T16:13:00Z,NA-East,DIST-APEX-EAST,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-APEX-EAST,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.27
ZD-TK-1011,2025-07-02T11:20:00Z,NA-East,DIST-MIDATL-SUPPLY,PRICE_DISPUTE,MEDIUM,Routine inquiry / order status check for DIST-MIDATL-SUPPLY,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.32
ZD-TK-1012,2025-07-02T13:40:00Z,NA-Central,DIST-MIDWEST-DIRECT,PRICE_DISPUTE,MEDIUM,Routine inquiry / order status check for DIST-MIDWEST-DIRECT,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.15
ZD-TK-1013,2025-07-02T12:20:00Z,NA-Central,DIST-GREATLAKES-SUPPLY,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-GREATLAKES-SUPPLY,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.26
ZD-TK-1014,2025-07-02T12:33:00Z,NA-Central,DIST-TEXAS-COMMERCIAL,PRICE_DISPUTE,MEDIUM,Routine inquiry / order status check for DIST-TEXAS-COMMERCIAL,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.17
ZD-TK-1015,2025-07-02T09:27:00Z,NA-West,DIST-MOUNTAIN-PARTS,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-MOUNTAIN-PARTS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.19
ZD-TK-1016,2025-07-02T14:25:00Z,NA-West,DIST-CAL-ENTERPRISE,FULFILLMENT_DELAY,MEDIUM,Routine inquiry / order status check for DIST-CAL-ENTERPRISE,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.2
ZD-TK-1017,2025-07-02T08:02:00Z,NA-West,DIST-PACIFIC-LOGISTICS,FULFILLMENT_DELAY,LOW,Routine inquiry / order status check for DIST-PACIFIC-LOGISTICS,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,-0.17
ZD-TK-1018,2025-07-03T12:07:00Z,NA-East,DIST-EMPIRE-IND,PRICE_DISPUTE,LOW,Routine inquiry / order status check for DIST-EMPIRE-IND,Standard operational correspondence regarding order fulfillment tracking and invoice reconciliation.,0.04
